"Data Source","World Development Indicators",

"Last Updated Date","2021-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"American Samoa","ASM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12272.1194373445","12303.5549205816","12314.8582534683","12290.7466796514","11876.3640054814","12250.0728151181","12106.4532962254","11768.8575209528","11928.5357677769","11998.9238633306","11496.5240977923","11199.4543855556","11381.7640838128","11737.0892018779","11553.8491899747","10770.0882823597","11160.9960152179","11028.3482788545","",
"Antigua and Barbuda","ATG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","12540.3551344244","13116.2417626866","14196.5960338871","15376.8366809474","15982.0516144873","15970.9510118311","16827.9078074061","18536.9636305955","19953.5679128674","22258.1646108333","23748.8401357249","24968.7252411289","26174.6187054013","26736.1233268834","26960.2133737355","26808.8242138414","27658.7561001566","28880.2249966518","27029.5025629077","28197.1044231646","29104.9688314948","29852.4973026127","30356.0810991778","31673.7932032576","29761.4360462104","29650.1826355718","31050.1695855556","32417.3895727283","34043.6031523901","37788.6719458381","40662.8663913649","40007.1433590182","34673.4606827064","31487.6746563671","30448.9635854342","31073.1469908304","30514.151458857","31312.4176227826","32159.6434792831","33587.0715192552","34314.6974063401","36373.0499989614","37269.5258199042","31056.2862511233",
"Australia","AUS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","26087.3449140206","26209.1004483449","25908.6762241668","26996.0730593607","28318.7964538372","29430.8043554619","29451.8067118702","30915.3318077803","31922.5580814389","33463.5081138384","35163.9082114016","35356.1876787509","36070.3498520149","36451.5695067265","36998.834074182","37039.44432448","37618.8270505238","38535.5129650507","38431.6060732693","39555.8081852005","40262.2515654778","40951.095330609","41614.3760706285","40184.6574272887","41552.4961399897","43139.8020053306","44151.9752284872","44594.9003621518","46390.8614703427","47373.4418117804","48344.3402031046","47542.177736635","47162.3892540726","48585.3285787061","49988.9666760011","51284.1412129261","52577.9039921359","54055.3005346438","55943.1350542462","58113.7060128923","59683.5482692006","60021.1713800031","61665.5810781929","62728.0175316907","64519.5604002504","65713.9074666091","66561.10040149","68689.4313315024","69789.3567757845","69689.9274837841","70032.8389710304","70767.3814495454","72267.4260171074","72870.3995035656","73610.117293271","74149.2429772512","75022.6521064299","75466.6110611149","76508.0202738793","76980.9836060403","75801.5685808264",
"Austria","AUT","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10861.6594470119","11400.4756536122","11630.9328108182","12034.6967073595","12686.8973602153","13043.4007981353","13683.1116516584","13989.7515190363","14539.7224825088","15398.9467903276","16315.260598311","17073.4214147837","18028.2322806617","18805.412388291","19513.5063148783","19494.1820735798","20422.7620687262","21451.997309878","21424.146077155","22610.2827698798","23001.752184568","22910.0624809248","23354.0873287264","24087.3188123106","24101.1866267695","24691.8020326544","25244.0100747788","25570.4265553259","26375.8301729512","27277.9104114446","28247.2439550134","28929.1285976811","29211.5035770362","29124.2329361861","29709.2694438263","30455.2432614964","31128.7411498179","31744.4601502427","32845.3040440207","33947.278663878","35008.9582985399","35317.1278390379","35724.2200125539","35885.3171420821","36638.8051541086","37206.6616843884","38301.8092090345","39600.903479205","40053.663427826","38444.9721052391","39057.2379380453","40063.5274880021","40152.6490360429","39926.8711151164","39878.0123364859","39833.5323259551","40189.0343091897","40868.5356836198","41719.2945981351","42123.4515626267","39182.8224202539",
"Azerbaijan","AZE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1603.02025070447","1567.27957639939","1194.83390680033","904.974382921948","716.93756746084","625.098100195185","626.861947700631","656.852792396262","715.712637432074","761.958999091792","839.61046641652","915.610513857382","994.585135738716","1087.84202280759","1178.14964184675","1492.24545243302","1984.64267403693","2461.92301865685","2666.09991555789","2855.97473992827","2957.35787024377","2873.15648110417","2897.68996353616","3027.59928769866","3073.69241513363","3069.17332489338","2942.0734894257","2917.82055124029","2936.05355696826","2983.50515443349","2830.67869844421",
"Burundi","BDI","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","158342.524837046","133966.430376668","143349.912305361","146402.852769349","152405.610035079","154965.44708552","158221.921996863","175511.458392254","170598.623080152","164318.044444216","195626.070849497","198099.609763493","183353.63844786","194056.981519827","190464.132310082","188971.565139224","200194.852134848","218317.410092766","211071.68071722","209184.519786711","205868.249642645","224997.25382736","216872.237986427","219037.524168734","213512.814851401","232153.761497481","233032.524457182","238990.249575624","244139.159636967","240982.723882101","243368.553945472","249745.28687998","246914.66811853","227015.843384694","214586.449298555","194684.286652979","176950.042012439","172372.452937131","178708.469769289","174601.078946478","170072.696437975","169667.743143639","172491.802635335","165324.580321692","167907.906066558","164055.323816878","167413.395374514","167588.924561568","170029.943008359","170804.822914381","173804.573421154","175105.481935067","177203.268183663","180193.352369768","182034.255149248","169498.639935654","163213.062754946","158893.174976286","156418.344729069","154393.089686665","150161.625212002",
"Belgium","BEL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10576.0881824716","11065.78826005","11596.2859688885","12010.7782270188","12725.3161615209","13059.2850421326","13380.7344401321","13821.1714490341","14344.3089200471","15252.0574756465","16087.6857442285","16698.4528947205","17514.0200687563","18573.1784530863","19360.0826980505","18924.7074188578","19958.7799304294","20058.9687578011","20609.7859918976","21073.326359599","21985.5924015254","21924.7685004395","22061.2127082538","22131.7671721025","22677.9618263014","23045.689280554","23457.3935265316","23978.02524236","25030.8511781454","25805.3054948244","26535.6647921184","26921.8573547906","27223.2652786546","26856.2957417218","27637.6309944153","28237.5196696476","28554.8159297216","29566.4528257595","30082.1875274429","31076.6163600377","32153.5617607609","32395.5118178363","32801.0986389439","33003.1139731921","34034.1077945717","34633.263149135","35283.7392792046","36313.438173485","36188.7186830443","35173.2919198855","35851.7017808863","35987.9506415139","36029.8415440015","36025.1042013254","36431.6819871645","36960.6311616367","37239.7833211048","37698.140104955","38197.8854742438","38670.0385935044","36029.8726280389",
"Benin","BEN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","401445.553288758","408305.326051467","388480.961970889","400461.531898057","419977.397475728","434415.687062933","441595.854017898","437684.960781996","445339.261711055","448660.397005753","448370.599914141","432127.823014522","449775.715562438","455941.1164397","460267.279396398","427311.730593562","420529.435935162","430393.46763412","424604.835830877","440531.612091436","457924.262094187","489935.924025456","487165.659469241","453040.262658953","475217.179724537","496469.376729442","492737.302945757","471353.012557264","473053.167496443","445519.382350144","470055.663401249","473649.792329191","470984.588708702","481323.950964194","474510.170040854","486891.972062899","492217.092722478","504920.140523723","509616.843936309","521223.714763069","535535.088682608","547294.173239384","555538.969761768","557464.501294851","564923.007126578","557884.68951569","563324.969669192","580248.119704925","591715.108173416","588666.064523255","584478.263128728","585162.040239814","596394.440930415","621689.795707852","643072.765112781","636614.806293744","639957.866357029","657910.486012231","683034.662062414","710377.148406965","718120.959238643",
"Burkina Faso","BFA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","142839.998207335","146633.884712438","153558.063011968","149576.008261736","150857.825960623","154238.495596181","152663.786145803","163439.067454679","165636.219105622","166114.780699135","163458.199901277","162907.242546761","163760.202478059","161574.754433506","171790.106882311","173648.942873147","184880.620986064","181943.276633934","186483.337397948","189236.395857928","186517.8505753","189935.796796153","203065.842514579","198698.406827625","190231.98830669","201181.144113259","211632.57606423","205701.354883361","211991.624830268","210908.864865296","204136.03314012","216769.933313341","211501.404963478","212972.581351447","209967.900860422","215958.126201699","233207.746356939","241132.036410305","251601.47783853","262688.677759287","260149.941372082","269537.939965954","273296.830741676","286203.846396384","290394.126506764","306346.905665986","315917.943603714","319147.910216854","327597.569171649","327245.534115161","344330.996287074","356251.841836","368040.936731878","377921.982082484","382767.423629291","386254.724853092","397508.895842886","410139.187487717","425374.715689458","437009.030832203","433435.767792018",
"Bangladesh","BGD","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","19592.404645318","20211.3423714692","20730.0269269381","20062.3892130739","21622.032318243","21317.4614554373","21186.5881787199","20128.3044740977","21356.7259358462","21010.0065515562","21654.3111206999","20061.9982333723","16975.1830742326","17277.3349788101","18630.2926620556","17530.9711400529","18113.4328520477","18139.1004561947","18910.8846711836","19287.4551948534","18930.1397153458","19771.2353888799","19672.4337480192","19911.5578943678","20331.255569872","20467.2783877957","20766.9758108249","20990.9543815603","20947.4423226854","21004.855955027","21653.2720776054","21892.8974032692","22574.6893966634","23131.2869800185","23522.302082239","24204.7415257244","24766.2032123488","25337.4794632093","26101.3241479341","26773.2265896891","27645.3635107879","28506.1864977075","29065.0203203055","29920.069647071","30983.2370329181","32521.8152010884","34227.4351528515","36196.6788803123","37936.355045167","39407.7168311252","41138.0950513626","43299.304272663","45593.8471269829","47780.1615019102","50100.2497854853","52789.0631370244","55928.2588910595","59360.2843681015","63357.1833874197","67820.8804079075","68739.213386937",
